home,away,score
Wolverhampton Wanderers F.C.,Chelsea F.C.,2-6
Wolverhampton Wanderers F.C.,Crystal Palace F.C.,2-2
Wolverhampton Wanderers F.C.,Everton F.C.,1-1
Wolverhampton Wanderers F.C.,Fulham F.C.,1-2
Wolverhampton Wanderers F.C.,Ipswich Town F.C.,1-2
Wolverhampton Wanderers F.C.,Leicester City F.C.,3-0
Wolverhampton Wanderers F.C.,Liverpool F.C.,1-2
Wolverhampton Wanderers F.C.,Manchester City F.C.,1-2
Wolverhampton Wanderers F.C.,Manchester United F.C.,2-0
Wolverhampton Wanderers F.C.,Newcastle United F.C.,1-2
Wolverhampton Wanderers F.C.,Nottingham Forest F.C.,0-3
Wolverhampton Wanderers F.C.,Southampton F.C.,2-0
Wolverhampton Wanderers F.C.,Tottenham Hotspur F.C.,4-2
Wolverhampton Wanderers F.C.,West Ham United F.C.,1-0
